day,I_obs_g0,I_obs_g1,ObsIncidence_g0,ObsIncidence_g1,D_cum_g0,D_cum_g1,DeathsDaily_g0,DeathsDaily_g1,DeathsDaily_obs_g0,DeathsDaily_obs_g1
0,9,7,5,1,0,0,1,0,0,0
1,13,8,2,5,1,0,0,0,0,0
2,9,11,5,14,1,0,0,0,0,0
3,9,23,5,17,1,0,0,0,0,0
4,8,35,6,10,1,0,0,0,0,0
5,10,38,9,20,1,0,0,0,0,0
6,16,55,18,23,1,0,0,0,0,0
7,26,69,12,33,1,0,0,0,0,0
8,24,91,15,49,1,0,0,0,0,0
9,32,121,15,43,1,0,0,0,0,0
10,31,140,27,64,1,0,0,1,0,1
11,46,176,29,61,1,1,0,1,0,1
12,53,187,34,99,1,2,0,1,0,1
13,67,244,58,124,1,3,0,1,0,1
14,103,313,43,119,1,4,1,4,0,3
15,108,339,69,178,2,8,2,1,1,1
16,128,443,79,221,4,9,1,1,0,1
17,148,572,94,248,5,10,1,1,1,1
18,173,695,132,309,6,11,2,3,0,2
19,227,838,166,363,8,14,1,1,0,0
20,289,1009,210,479,9,15,2,10,0,7
21,345,1264,262,608,11,25,3,7,1,6
22,458,1582,330,733,14,32,2,4,0,4
23,582,1963,417,941,16,36,1,13,0,7
24,724,2476,519,1018,17,49,1,10,0,9
25,918,2924,621,1306,18,59,5,16,0,13
26,1117,3517,683,1528,23,75,4,19,2,10
27,1297,4275,841,1917,27,94,4,24,2,17
28,1567,5241,936,2132,31,118,2,24,1,18
29,1811,6172,1070,2460,33,142,6,34,3,22
30,2114,7250,1234,2897,39,176,8,38,2,30
31,2451,8548,1464,3159,47,214,13,46,2,33
32,2877,9808,1627,3612,60,260,12,57,1,39
33,3332,11277,1755,3835,72,317,8,55,2,30
34,3668,12744,1827,4092,80,372,8,76,2,50
35,3892,14140,1935,4211,88,448,15,63,3,47
36,4185,15387,2047,4393,103,511,17,64,2,42
37,4489,16586,1955,4568,120,575,15,80,7,50
38,4644,17698,2006,4565,135,655,21,86,7,59
39,4792,18607,1939,4293,156,741,16,80,5,59
40,4819,19116,1826,4116,172,821,11,85,4,55
41,4722,19398,1756,3830,183,906,12,90,6,68
42,4601,19306,1617,3565,195,996,17,97,4,62
43,4446,18883,1498,3451,212,1093,9,86,6,58
44,4216,18567,1429,3113,221,1179,12,88,1,65
45,4004,17939,1187,2700,233,1267,14,84,1,61
46,3618,17163,1124,2490,247,1351,9,76,2,60
47,3339,16188,939,2208,256,1427,10,81,4,61
48,3019,15145,874,1944,266,1508,9,58,3,44
49,2722,14050,756,1796,275,1566,10,53,3,36
50,2449,13023,680,1498,285,1619,6,55,1,36
51,2210,11977,573,1325,291,1674,16,38,2,27
52,1948,10932,545,1189,307,1712,5,53,1,34
53,1806,10036,485,1060,312,1765,7,48,3,30
54,1592,9181,436,882,319,1813,3,30,1,20
55,1401,8317,365,788,322,1843,3,37,1,27
56,1257,7470,337,730,325,1880,4,39,1,28
57,1103,6730,301,614,329,1919,3,25,1,21
58,967,6055,258,566,332,1944,2,28,1,20
59,842,5413,225,497,334,1972,2,19,0,14
60,741,4863,215,445,336,1991,1,18,0,14
61,671,4386,190,362,337,2009,3,25,2,19
62,617,3885,156,324,340,2034,1,19,0,11
63,519,3496,163,273,341,2053,2,16,0,10
64,473,3051,142,277,343,2069,1,13,0,5
65,428,2736,116,246,344,2082,0,9,0,7
66,386,2462,104,199,344,2091,2,8,2,5
67,325,2213,92,185,346,2099,3,4,0,2
68,286,2026,69,158,349,2103,3,15,2,12
69,246,1793,73,154,352,2118,1,7,1,5
70,227,1617,52,149,353,2125,1,12,0,9
71,199,1460,61,112,354,2137,1,7,0,4
72,188,1311,42,96,355,2144,2,5,1,2
73,156,1189,30,68,357,2149,1,7,0,5
74,141,1009,30,70,358,2156,0,4,0,2
75,120,886,30,69,358,2160,0,4,0,3
76,96,782,14,50,358,2164,0,0,0,0
77,71,697,23,54,358,2164,1,6,0,4
78,71,622,18,46,359,2170,2,1,1,1
79,59,543,14,34,361,2171,0,1,0,1
80,55,482,9,36,361,2172,0,0,0,0
81,45,432,15,29,361,2172,0,3,0,3
82,45,385,12,21,361,2175,0,2,0,1
83,42,326,9,29,361,2177,0,3,0,2
84,36,291,15,21,361,2180,0,2,0,2
85,36,256,9,16,361,2182,0,2,0,2
86,34,234,8,14,361,2184,0,0,0,0
87,32,201,9,19,361,2184,0,1,0,1
88,29,188,5,14,361,2185,0,0,0,0
89,27,165,8,11,361,2185,0,0,0,0
90,22,136,3,9,361,2185,0,0,0,0
91,19,120,2,6,361,2185,0,0,0,0
92,18,113,1,8,361,2185,0,0,0,0
93,10,96,3,7,361,2185,0,0,0,0
94,12,85,1,5,361,2185,0,1,0,1
95,9,73,4,6,361,2186,0,0,0,0
96,11,66,4,6,361,2186,0,0,0,0
97,12,64,1,9,361,2186,0,0,0,0
98,10,59,3,3,361,2186,0,0,0,0
99,11,47,1,4,361,2186,0,0,0,0
100,6,36,2,5,361,2186,0,0,0,0
101,7,38,4,4,361,2186,0,0,0,0
102,8,35,1,3,361,2186,0,0,0,0
103,5,27,2,1,361,2186,0,0,0,0
104,5,23,1,4,361,2186,0,0,0,0
105,1,26,1,1,361,2186,0,0,0,0
106,1,25,0,2,361,2186,0,0,0,0
107,0,21,1,0,361,2186,0,0,0,0
108,1,16,1,4,361,2186,0,0,0,0
109,1,19,0,3,361,2186,0,0,0,0
110,0,18,0,5,361,2186,0,0,0,0
111,0,22,1,1,361,2186,0,0,0,0
112,1,16,1,1,361,2186,0,0,0,0
113,1,13,0,3,361,2186,1,0,0,0
114,1,13,0,1,362,2186,0,0,0,0
115,1,10,0,1,362,2186,0,0,0,0
116,0,9,0,1,362,2186,0,0,0,0
117,0,7,0,1,362,2186,0,0,0,0
118,0,8,0,1,362,2186,0,0,0,0
119,0,6,0,0,362,2186,0,0,0,0
120,0,4,0,0,362,2186,0,0,0,0
121,0,4,0,0,362,2186,0,0,0,0
122,0,3,0,0,362,2186,0,0,0,0
123,0,3,0,0,362,2186,0,0,0,0
124,0,1,0,0,362,2186,0,0,0,0
125,0,1,0,0,362,2186,0,1,0,1
126,0,0,0,0,362,2187,0,0,0,0
127,0,0,0,0,362,2187,0,0,0,0
128,0,0,0,0,362,2187,0,0,0,0
129,0,0,0,0,362,2187,0,0,0,0
130,0,0,0,0,362,2187,0,0,0,0
131,0,0,0,0,362,2187,0,0,0,0
132,0,0,0,0,362,2187,0,0,0,0
133,0,0,0,0,362,2187,0,0,0,0
134,0,0,0,1,362,2187,0,0,0,0
135,0,1,0,0,362,2187,0,0,0,0
136,0,1,0,0,362,2187,0,0,0,0
137,0,1,0,0,362,2187,0,0,0,0
138,0,1,0,0,362,2187,0,0,0,0
139,0,1,0,0,362,2187,0,0,0,0
140,0,0,0,0,362,2187,0,0,0,0
141,0,0,0,0,362,2187,0,0,0,0
142,0,0,0,0,362,2187,0,0,0,0
143,0,0,0,0,362,2187,0,0,0,0
144,0,0,0,0,362,2187,0,0,0,0
145,0,0,0,0,362,2187,0,0,0,0
146,0,0,0,0,362,2187,0,0,0,0
147,0,0,0,0,362,2187,0,0,0,0
148,0,0,0,0,362,2187,0,0,0,0
149,0,0,0,0,362,2187,0,0,0,0
150,0,0,0,0,362,2187,0,0,0,0
151,0,0,0,0,362,2187,0,0,0,0
152,0,0,0,0,362,2187,0,0,0,0
153,0,0,0,0,362,2187,0,0,0,0
154,0,0,0,0,362,2187,0,0,0,0
155,0,0,0,0,362,2187,0,0,0,0
156,0,0,0,0,362,2187,0,0,0,0
157,0,0,0,0,362,2187,0,0,0,0
158,0,0,0,0,362,2187,0,0,0,0
159,0,0,0,0,362,2187,0,0,0,0
160,0,0,0,0,362,2187,0,0,0,0
161,0,0,0,0,362,2187,0,0,0,0
162,0,0,0,0,362,2187,0,0,0,0
163,0,0,0,0,362,2187,0,0,0,0
164,0,0,0,0,362,2187,0,0,0,0
165,0,0,0,0,362,2187,0,0,0,0
166,0,0,0,0,362,2187,0,0,0,0
167,0,0,0,0,362,2187,0,0,0,0
